text,label
Canjea tu bono aqui,spam
Comparte tus ideas sobre esta propuesta,ham
Recibe tu comida favorita en 30 minutos,spam
Tu boleto de avion esta listo,ham
Mejorar tus defensas con probioticos,spam
Gracias por postular te contactaremos pronto,ham
Gana el doble por tus referencias efectivas,spam
Hola necesito que coordinemos esa junta,ham
Reduce tu hipoteca con este refinanciamiento,spam
Confirma tu asistencia al taller de seguridad,ham
Realza la profundidad de tu mirada,spam
Tu pin temporal es 3897,ham
Gana una consola participando en nuestra trivia,spam
Envia una selfie con tu documento,spam
Tus ideas nos inspiran a seguir mejorando,ham
Descarga el manual del usuario,spam
Tu nomina esta disponible para descargar,ham
Baja 2 kilos por semana con nuestra dieta,spam
Elige entre debito o credito,ham
Salva una vida donando sangre hoy,ham
No te pierdas las imagenes mas divertidas,spam
