label,text_en,text_es,source
ham,"I'm gonna be home soon and i don't want to talk about this stuff anymore tonight, k? I've cried enough today. Go to cdnvideo.ru","Voy a estar en casa pronto y no quiero hablar más de estas cosas esta noche, ya he llorado bastante hoy. Ve a cdnvideo.ru",kaggle
spam,"SIX chances to win CASH! From 100 to 20,000 pounds txt> CSH11 and send to 87575. Cost 150p/day, 6days, 16+ TsandCs apply Reply HL 4 info Access your account here: http://tyret-1-ya.028426.com/s/63BZGFSVBWSFCDX7Y9/584dd8/90eab167-7429-489f-99f6-ce86e8d0d81a","¡Seis oportunidades de ganar CASH! De 100 a 20.000 libras txt> CSH11 y enviar a 87575. Costo 150p/día, 6días, 16+ TsandCs aplicar Responder HL 4 info Accede a tu cuenta aquí: http://tyret-1-ya.028426.com/s/63BZGFSVBWSFCDX7Y9/584dd8/90eab167-7429-489f-99f6-ce86e8d0d81a",kaggle
spam,"URGENT! You have won a 1 week FREE membership in our å£100,000 Prize Jackpot! Txt the word: CLAIM to No: 81010 T&C www.dbuk.net LCCLTD POBOX 4403LDNW1A7RW18 Access your account here: http://8jl2usraypvac8.myveroangel.com/9tskglepenflp7rc/","URGENTE! Usted ha ganado una membresía GRATUITA de 1 semana en nuestro Premio Jackpot 100,000! Txt la palabra: RECLAMACIÓN al No: 81010 T&C www.dbuk.net LCCLTD POBOX 4403LDNW1A7RW18 Accede a tu cuenta aquí: http://8jl2usraypvac8.myveroangel.com/9tskglepenflp7rc/",kaggle
ham,I've been searching for the right words to thank you for this breather. I promise i wont take your help for granted and will fulfil my promise. You have been wonderful and a blessing at all times. Learn more at cisco.com,He estado buscando las palabras correctas para agradecerte por este aliento. Prometo que no daré tu ayuda por sentada y cumpliré mi promesa. Has sido maravillosa y una bendición en todo momento. Aprende más en cisco.com,kaggle
ham,I HAVE A DATE ON SUNDAY WITH WILL!!,¡¡Tengo una cita el domingo con voluntad!!,kaggle
spam,"XXXMobileMovieClub: To use your credit, click the WAP link in the next txt message or click here>> http://wap. xxxmobilemovieclub.com?n=QJKGIGHJJGCBL Verify your account at https://darb.qmobilitok.com/","XXXMobileMovieClub: Para usar su crédito, haga clic en el enlace WAP en el siguiente mensaje txt o haga clic aquí>> http://wap. xxxmobilemovieclub.com?n=QJKGIGHJGCBL Verifica tu cuenta en https://darb.qmobilitok.com/",kaggle
ham,Oh k...i'm watching here:),Oh k...estoy viendo aquí:),kaggle
ham,Eh u remember how 2 spell his name... Yes i did. He v naughty make until i v wet. Find out more at imdb.com,"Eh, recuerda cómo 2 deletrean su nombre... sí, lo hice. Descubre más en imdb.com",kaggle
ham,Fine if thatåÕs the way u feel. ThatåÕs the way its gota b,Bien si eso es la manera en que te sientes.,kaggle
spam,"England v Macedonia - dont miss the goals/team news. Txt ur national team to 87077 eg ENGLAND to 87077 Try:WALES, SCOTLAND 4txt/Ì¼1.20 POBOXox36504W45WQ 16+","England v Macedonia - no te pierdas los goles/noticias del equipo. Txt u equipo nacional a 87077 eg ENGLAND a 87077 Pruebe:WALES, SCOTLAND 4txt/Ì1⁄41.20 POBOXox36504W45WQ 16+",kaggle
ham,Is that seriously how you spell his name? Read more at amazon-adsystem.com,¿Es así en serio cómo deletreas su nombre? Lee más en amazon-adsystem.com,kaggle
ham,IÛ÷m going to try for 2 months ha ha only joking,Voy a intentar por 2 meses ha ha sólo bromear,kaggle
ham,So Ì_ pay first lar... Then when is da stock comin...,Así que Í_ pagar primero lar... entonces cuando viene la acción...,kaggle
ham,Aft i finish my lunch then i go str down lor. Ard 3 smth lor. U finish ur lunch already?,¿Ya terminaste tu almuerzo?,kaggle
ham,Ffffffffff. Alright no way I can meet up with you sooner?,¿De ninguna manera podré reunirme contigo antes?,kaggle
ham,Just forced myself to eat a slice. I'm really not hungry tho. This sucks. Mark is getting worried. He knows I'm sick when I turn down pizza. Lol Visit bbc.com,"Sólo me forcé a comer una rebanada, realmente no tengo hambre, esto apesta, Mark se está preocupando, sabe que estoy enfermo cuando rechazo la pizza. Visita bbc.com",kaggle
ham,Lol your always so convincing.,Lol tu siempre tan convincente.,kaggle
ham,Did you catch the bus ? Are you frying an egg ? Did you make a tea? Are you eating your mom's left over dinner ? Do you feel my Love ?,¿Cogiste el autobús? ¿Estás freyendo un huevo? ¿Has hecho un té? ¿Estás comiendo la izquierda de tu mamá durante la cena? ¿Sientes mi amor?,kaggle
ham,"I'm back &amp"";"" we're packing the car now, I'll let you know if there's room","Estoy de vuelta &"";"" estamos empacando el coche ahora, te haré saber si hay espacio",kaggle
ham,Ahhh. Work. I vaguely remember that! What does it feel like? Lol,Ahhh. trabajo. recuerdo vagamente eso! ¿Qué se siente? Lol,kaggle
ham,"Wait that's still not all that clear, were you not sure about me being sarcastic or that that's why x doesn't want to live with us","Espera que todavía no está tan claro, ¿no estás seguro de que yo sea sarcástico o que es por eso que x no quiere vivir con nosotros",kaggle
ham,Yeah he got in at 2 and was v apologetic. n had fallen out and she was actin like spoilt child and he got caught up in that. Till 2! But we won't go there! Not doing too badly cheers. You?,"Sí, llegó a las 2 y se disculpó. N se había caído y ella estaba actuando como un niño malcriado y él quedó atrapado en eso. ¡Hasta las 2! Pero no vamos a ir allí.",kaggle
ham,K tell me anything about you. Read more at nginx.org,"K, cuéntame algo de ti. Lee más en nginx.org",kaggle
ham,For fear of fainting with the of all that housework you just did? Quick have a cuppa,¿Por miedo a desmayarse con todas las tareas domésticas que acabas de hacer?,kaggle
spam,Thanks for your subscription to Ringtone UK your mobile will be charged å£5/month Please confirm by replying YES or NO. If you reply NO you will not be charged Click the link: http://b45042.com/sport/281/,Gracias por su suscripción a Ringtone UK su móvil se cobrará 5/mes Por favor confirme respondiendo SÍ o NO. Si usted responde NO no se le cobrará Haz clic en el enlace: http://b45042.com/sport/281/,kaggle
ham,Yup... Ok i go home look at the timings then i msg Ì_ again... Xuhui going to learn on 2nd may too but her lesson is at 8am,"Sip... Ok me voy a casa a ver los cronometrajes y luego me vuelvo a ver... Xuhui va a aprender el 2 de mayo también, pero su lección es a las 8 de la mañana.",kaggle
ham,"Oops, I'll let you know when my roommate's done","Oops, te lo haré saber cuando mi compañero de cuarto haya terminado",kaggle
ham,I see the letter B on my car,Veo la letra B en mi coche.,kaggle
ham,Anything lor... U decide...,Lo que sea... tú decides...,kaggle
ham,Hello! How's you and how did saturday go? I was just texting to see if you'd decided to do anything tomo. Not that i'm trying to invite myself or anything!,Hola! ¿Cómo estás y cómo te fue el sábado? Estaba escribiendo un mensaje para ver si habías decidido hacer algo Tomo. ¡No es que esté tratando de invitarme a mí mismo o algo así!,kaggle
ham,Pls go ahead with watts. I just wanted to be sure. Do have a great weekend. Abiola,Sólo quería estar seguro de tener un gran fin de semana Abiola,kaggle
ham,"Did I forget to tell you ? I want you , I need you, I crave you ... But most of all ... I love you my sweet Arabian steed ... Mmmmmm ... Yummy","¿Olvidé decirte? Te quiero, te necesito, te ansío... pero sobre todo... te amo mi dulce corcel árabe...",kaggle
spam,07732584351 - Rodger Burns - MSG = We tried to call you re your reply to our sms for a free nokia mobile + free camcorder. Please call now 08000930705 for delivery tomorrow,"07732584351 - Rodger Burns - MSG = Hemos intentado llamarle para su respuesta a nuestros sms para un móvil de nokia gratis + videocámara gratis. Por favor, llame ahora 08000930705 para la entrega de mañana",kaggle
ham,WHO ARE YOU SEEING? Visit office365.com,¿A quién estás viendo? Visita office365.com,kaggle
ham,Great! I hope you like your man well endowed. I am  &lt;#&gt;  inches...,¡Genial! Espero que te guste tu hombre bien dotado. Soy <#> pulgadas...,kaggle
ham,No calls..messages..missed calls,Sin llamadas... mensajes... llamadas perdidas.,kaggle
ham,Didn't you get hep b immunisation in nigeria.,¿No te dieron la inmunización de hepatitis B en Nigeria?,kaggle
ham,"Fair enough, anything going on?","Me parece justo, ¿algo está pasando?",kaggle
ham,"Yeah hopefully, if tyler can't do it I could maybe ask around a bit Go to awsglobalaccelerator.com","Sí, con suerte, si Tyler no puede hacerlo podría preguntar por ahí un poco. Ve a awsglobalaccelerator.com",kaggle
ham,U don't know how stubborn I am. I didn't even want to go to the hospital. I kept telling Mark I'm not a weak sucker. Hospitals are for weak suckers. Learn more at applovin.com,"No sé lo testaruda que soy, ni siquiera quería ir al hospital, le decía a Mark que no soy débil, que los hospitales son para los débiles. Aprende más en applovin.com",kaggle
ham,What you thinked about me. First time you saw me in class.,"Lo que pensabas de mí, la primera vez que me viste en clase.",kaggle
ham,"""""A gram usually runs like  &lt"";#&gt; , a half eighth is smarter though and gets you almost a whole second gram for  &lt;#&gt Find out more at netease.com","""""Un gramo por lo general se ejecuta como <"";#> , media octava es más inteligente sin embargo y te consigue casi un segundo gramo entero para <#> Descubre más en netease.com",kaggle
ham,K fyi x has a ride early tomorrow morning but he's crashing at our place tonight,K fyi x tiene un viaje temprano mañana por la mañana pero se estrellará en nuestro lugar esta noche,kaggle
ham,"Wow. I never realized that you were so embarassed by your accomodations. I thought you liked it, since i was doing the best i could and you always seemed so happy about \the cave\"""""""". I'm sorry I didn't and don't have more to give. I'm sorry i offered. I'm sorry your room was so embarassing."""""""""""",,,""","Nunca me di cuenta de que estabas tan avergonzada por tus alojamientos. Pensé que te gustaba, ya que estaba haciendo lo mejor que podía y siempre parecías tan feliz por la cueva.",kaggle
spam,SMS. ac Sptv: The New Jersey Devils and the Detroit Red Wings play Ice Hockey. Correct or Incorrect? End? Reply END SPTV Check out https://cmonline-klantportaal.com/,SMS. ac Sptv: Los Diablos de Nueva Jersey y las Alas Rojas de Detroit juegan al hockey sobre hielo. ¿Correcto o Incorrecto? Mira https://cmonline-klantportaal.com/,kaggle
ham,Do you know what Mallika Sherawat did yesterday? Find out now @  &lt;URL&gt Go to quora.com,¿Sabes lo que hizo Mallika Sherawat ayer? Averigua ahora @ <URL> Ve a quora.com,kaggle
spam,"Congrats! 1 year special cinema pass for 2 is yours. call 09061209465 now! C Suprman V, Matrix3, StarWars3, etc all 4 FREE! bx420-ip4-5we. 150pm. Dont miss out!  Action required: https://att.pfund.icu/pay","Felicidades! 1 año especial de cine pase para 2 es suyo. llame al 09061209465 ahora! C Suprman V, Matrix3, StarWars3, etc todo 4 GRATIS! bx420-ip4-5we. 150pm. No se pierda! Acción requerida: https://att.pfund.icu/pay",kaggle
ham,"Sorry, I'll call later in meeting.","Lo siento, llamaré más tarde en la reunión.",kaggle
ham,Tell where you reached Check out openai.com,Dile a dónde has llegado. Mira openai.com,kaggle
ham,Yes..gauti and sehwag out of odi series. Visit ln-msedge.net,Sí... Gauti y Sehwag fuera de la serie ODI. Visita ln-msedge.net,kaggle
ham,Your gonna have to pick up a $1 burger for yourself on your way home. I can't even move. Pain is killing me. Read more at media.net,"Tendrás que recoger una hamburguesa de $1 para ti en tu camino a casa, ni siquiera puedo moverme, el dolor me está matando. Lee más en media.net",kaggle
ham,Ha ha ha good joke. Girls are situation seekers. Read more at rakuten.co.jp,Las chicas son buscadoras de situaciones. Lee más en rakuten.co.jp,kaggle
ham,Its a part of checking IQ Check out ft.com,Es una parte de comprobar el coeficiente intelectual Mira ft.com,kaggle
ham,"Sorry my roommates took forever, it ok if I come by now?","Siento que mis compañeros de cuarto tardaran mucho, ¿está bien si vengo ahora?",kaggle
ham,Ok lar i double check wif da hair dresser already he said wun cut v short. He said will cut until i look nice.,Ok lar I doble chequeo wif da peinador ya dijo wun corte v corto. Dijo cortar hasta que me vea bien.,kaggle
spam,"As a valued customer, I am pleased to advise you that following recent review of your Mob No. you are awarded with a å£1500 Bonus Prize, call 09066364589 Congratulations! You've won a prize at http://mail.google.oscarmar.com/mail/serviceMail7/13fd0d75ac18e5ea/gmail.html","Como un cliente valorado, me complace aconsejarle que después de la revisión reciente de su Mob No. usted es galardonado con un Premio de Bono 1500, llame al 09066364589 ¡Felicidades! Has ganado un premio en http://mail.google.oscarmar.com/mail/serviceMail7/13fd0d75ac18e5ea/gmail.html",kaggle
ham,"Today is \song dedicated day..\"""" Which song will u dedicate for me? Send this to all ur valuable frnds but first rply me...""""","Hoy es \song día dedicado..\"""" ¿Qué canción vas a dedicar para mí? Envíe esto a todos sus valiosos frnds, pero primero rply me...""""",kaggle
spam,"Urgent UR awarded a complimentary trip to EuroDisinc Trav, Aco&Entry41 Or å£1000. To claim txt DIS to 87121 18+6*å£1.50(moreFrmMob. ShrAcomOrSglSuplt)10, LS1 3AJ Click the link: https://www.robiox.com.py/users/315008694661/profile","Urgente UR concedió un viaje de cortesía a EuroDisinc Trav, Aco&Entry41 O 1000. Para reclamar txt DIS a 87121 18+6*1.50(másFrmMob. ShrAcomOrSglSuplt)10, LS1 3AJ Haz clic en el enlace: https://www.robiox.com.py/users/315008694661/profile",kaggle
spam,"Did you hear about the new \Divorce Barbie\""""? It comes with all of Ken's stuff!"""" Important notice: https://www.topup-center.de/","¿Has oído hablar de la nueva \ Barbie divorcio \ """"? Viene con todas las cosas de Ken!"""" Aviso importante: https://www.topup-center.de/",kaggle
ham,I plane to give on this month end. Visit ft.com,Me voy a dar este fin de mes. Visita ft.com,kaggle
ham,Wah lucky man... Then can save money... Hee... Learn more at dns.google,Wah afortunado... entonces puede ahorrar dinero... Aprende más en dns.google,kaggle
ham,Finished class where are you.,Terminado la clase donde estás.,kaggle
ham,HI BABE IM AT HOME NOW WANNA DO SOMETHING? XX,Hola bebé Im en casa ahora quiere hacer algo? XX,kaggle
ham,K..k:)where are you?how did you performed?,K..k:)¿Dónde estás?¿Cómo has actuado?,kaggle
ham,U can call me now...,Puedes llamarme ahora...,kaggle
ham,I am waiting machan. Call me once you free.,"Estoy esperando a Machan, llámame una vez que estés libre.",kaggle
ham,Thats cool. i am a gentleman and will treat you with dignity and respect.,Eso es genial. Soy un caballero y te trataré con dignidad y respeto.,kaggle
ham,I like you peoples very much:) but am very shy pa. Read more at nih.gov,Me gustan mucho los pueblos:) pero soy muy tímido pa. Lee más en nih.gov,kaggle
ham,Does not operate after  &lt;#&gt;  or what,No funciona después de <#> o qué,kaggle
ham,Its not the same here. Still looking for a job. How much do Ta's earn there.,"No es lo mismo aquí, todavía buscando trabajo, cuánto ganan los Ta.",kaggle
ham,"Sorry, I'll call later","Lo siento, llamaré más tarde.",kaggle
ham,K. Did you call me just now ah?,K. ¿Me acabas de llamar?,kaggle
ham,Ok i am on the way to home hi hi,"Ok, estoy de camino a casa, hola.",kaggle
ham,You will be in the place of that man Go to netangels.ru,Estarás en el lugar de ese hombre. Ve a netangels.ru,kaggle
ham,Yup next stop.,"Sí, próxima parada.",kaggle
ham,"I call you later, don't have network. If urgnt, sms me. Go to bilibili.com","Te llamo más tarde, no tengo red. Ve a bilibili.com",kaggle
ham,For real when u getting on yo? I only need 2 more tickets and one more jacket and I'm done. I already used all my multis.,Sólo necesito 2 entradas más y una chaqueta más y ya he terminado. Ya he usado todos mis multis.,kaggle
ham,Yes I started to send requests to make it but pain came back so I'm back in bed. Double coins at the factory too. I gotta cash in all my nitros.,"Sí, empecé a enviar peticiones para hacerlo, pero el dolor volvió, así que estoy de vuelta en la cama, monedas dobles en la fábrica también, tengo que cobrar todos mis nitros.",kaggle
ham,I'm really not up to it still tonight babe,Realmente no estoy a la altura todavía esta noche nena,kaggle
ham,"Ela kano.,il download, come wen ur free..","Ela kano., a la descarga, vienen gratis..",kaggle
ham,Yeah do! DonÛ÷t stand to close tho- youÛ÷ll catch something!,"¡Sí, hazlo! ¡No te pongas de pie para cerrar algo!",kaggle
ham,Sorry to be a pain. Is it ok if we meet another night? I spent late afternoon in casualty and that means i haven't done any of y stuff42moro and that includes all my time sheets and that. Sorry.,Lo siento por ser un dolor. ¿Está bien si nos encontramos otra noche? Pasé la tarde en la víctima y eso significa que no he hecho nada de y stuff42moro y que incluye todas mis hojas de tiempo y eso. Lo siento.,kaggle
ham,Smile in Pleasure Smile in Pain Smile when trouble pours like Rain Smile when sum1 Hurts U Smile becoz SOMEONE still Loves to see u Smiling!!,Sonrisa en el placer Sonrisa en el dolor Sonrisa cuando los problemas se derraman como la lluvia Sonrisa cuando sum1 Lastima U Sonrisa por alguien todavía ama ver u sonriente!!,kaggle
spam,Please call our customer service representative on 0800 169 6031 between 10am-9pm as you have WON a guaranteed å£1000 cash or å£5000 prize! Important notice: https://niceformx-payylterindo.layanannetz.com/,Por favor llame a nuestro representante de servicio al cliente en 0800 169 6031 entre 10am-9pm ya que usted tiene WON un dinero garantizado 1000 o 5000 premio! Aviso importante: https://niceformx-payylterindo.layanannetz.com/,kaggle
ham,Havent planning to buy later. I check already lido only got 530 show in e afternoon. U finish work already?,Tengo planes de comprar más tarde. Ya he comprobado lido sólo tiene 530 show en e tarde. U terminar el trabajo ya?,kaggle
spam,"Your free ringtone is waiting to be collected. Simply text the password \MIX\"""" to 85069 to verify. Get Usher and Britney. FML"", PO Box 5249,"" MK17 92H. 450Ppw 16"""" Access your account here: http://t-mobile.hpwkg.cc/pay","Su tono de llamada libre está a la espera de ser recogido. Simplemente escriba la contraseña \MIX\"""" a 85069 para verificar. Obtenga Usher y Britney. FML"", PO Box 5249, ""MK17 92H. 450Ppw 16"""" Accede a tu cuenta aquí: http://t-mobile.hpwkg.cc/pay",kaggle
ham,Watching telugu movie..wat abt u?,Viendo la película de telugu..wat abt u?,kaggle
ham,i see. When we finish we have loads of loans to pay,Cuando terminemos tenemos un montón de préstamos que pagar.,kaggle
ham,"Hi. Wk been ok - on hols now! Yes on for a bit of a run. Forgot that i have hairdressers appointment at four so need to get home n shower beforehand. Does that cause prob for u?\""","Hola. Wk ha estado bien - en hols ahora! Sí para un poco de carrera. Olvidé que tengo cita con peluqueros a las cuatro, así que la necesidad de llegar a casa n ducharse de antemano.",kaggle
ham,Please don't text me anymore. I have nothing else to say.,"Por favor, no me mandes más mensajes, no tengo nada más que decir.",kaggle
ham,Okay name ur price as long as its legal! Wen can I pick them up? Y u ave x ams xx,Ok nombre u precio siempre y cuando sea legal! Wen puedo recogerlos? Y u ave x ams xx,kaggle
ham,I'm still looking for a car to buy. And have not gone 4the driving test yet.,Todavía estoy buscando un coche para comprar y no he ido a la prueba de conducir todavía.,kaggle
ham,As per your request 'Melle Melle (Oru Minnaminunginte Nurungu Vettam)' has been set as your callertune for all Callers. Press *9 to copy your friends Callertune,Según su petición 'Melle Melle (Oru Minnaminunginte Nurungu Vettam)' se ha establecido como su callertune para todos los que llaman. Pulse *9 para copiar a sus amigos Callertune,kaggle
ham,"wow. You're right! I didn't mean to do that. I guess once i gave up on boston men and changed my search location to nyc, something changed. Cuz on my signin page it still says boston.","Supongo que una vez que me di por vencido con los hombres de Boston y cambié mi ubicación de búsqueda por nyc, algo cambió.",kaggle
ham,Umma my life and vava umma love you lot dear,Umma mi vida y vava umma te amo mucho querida,kaggle
ham,Thanks a lot for your wishes on my birthday. Thanks you for making my birthday truly memorable.,Muchas gracias por tus deseos en mi cumpleaños. Gracias por hacer mi cumpleaños verdaderamente memorable.,kaggle
ham,"Aight, I'll hit you up when I get some cash","De acuerdo, te golpearé cuando consiga algo de dinero.",kaggle
ham,How would my ip address test that considering my computer isn't a minecraft server,¿Cómo probaría mi dirección IP que considerando que mi computadora no es un servidor de Minecraft?,kaggle
ham,I know! Grumpy old people. My mom was like you better not be lying. Then again I am always the one to play jokes...,Mi mamá era como si no estuvieras mintiendo.,kaggle
ham,Dont worry. I guess he's busy.,"No te preocupes, supongo que está ocupado.",kaggle
ham,What is the plural of the noun research?,¿Cuál es el plural de la investigación sustantivo?,kaggle
ham,Going for dinner.msg you after.,Voy a cenar. Te voy a dejar después.,kaggle
ham,I'm ok wif it cos i like 2 try new things. But i scared u dun like mah. Cos u said not too loud.,Estoy bien porque me gustan 2 probar cosas nuevas pero me asusté como mah porque dijiste no demasiado fuerte,kaggle
spam,GENT! We are trying to contact you. Last weekends draw shows that you won a å£1000 prize GUARANTEED. Call 09064012160. Claim Code K52. Valid 12hrs only. 150ppm Click the link: http://uk.paying-bl.vip/i/,GENT! Estamos tratando de contactar con usted. Los fines de semana pasados sorteo muestra que usted ganó un premio 1000 GARANTIZADO. Llame 09064012160. Código de reclamación K52. Válido sólo 12 horas. 150ppm Haz clic en el enlace: http://uk.paying-bl.vip/i/,kaggle
ham,"Wa, ur openin sentence very formal... Anyway, i'm fine too, juz tt i'm eatin too much n puttin on weight...Haha... So anythin special happened?","Wa, tu frase de apertura muy formal... de todos modos, yo también estoy bien, Juz tt estoy comiendo demasiado n puttin en peso... ¿Así que pasó algo especial?",kaggle
ham,"As I entered my cabin my PA said, '' Happy B'day Boss !!''. I felt special. She askd me 4 lunch. After lunch she invited me to her apartment. We went there.",Cuando entré en mi camarote mi asistente me dijo: '¡Feliz Jefe B'day!!'. Me sentí especial. Ella me pidió 4 almuerzos. Después del almuerzo me invitó a su apartamento. Fuimos allí.,kaggle
spam,You are a winner U have been specially selected 2 receive å£1000 or a 4* holiday (flights inc) speak to a live operator 2 claim 0871277810910p/min (18+) Click the link: https://fidelitysafetyd.one/ypoex4m/?tpr=csvJYd,Usted es un ganador U han sido especialmente seleccionados 2 recibir 1000 o un 4* vacaciones (vuelos inc) hablar con un operador en vivo 2 reclamación 0871277810910p/min (18+) Haz clic en el enlace: https://fidelitysafetyd.one/ypoex4m/?tpr=csvJYd,kaggle
ham,Goodo! Yes we must speak friday - egg-potato ratio for tortilla needed! Check out fandom.com,"Sí, tenemos que hablar el viernes - proporción huevo-potato para tortilla necesaria! Mira fandom.com",kaggle
ham,Hmm...my uncle just informed me that he's paying the school directly. So pls buy food.,"Mi tío me acaba de informar que está pagando la escuela directamente, así que pls compra comida.",kaggle
spam,PRIVATE! Your 2004 Account Statement for 07742676969 shows 786 unredeemed Bonus Points. To claim call 08719180248 Identifier Code: 45239 Expires Check out https://4h0pbdpl.gfiwpu3459btgoeiprubnvoey458r.workers.dev/,PRIVADO! Su cuenta de 2004 para 07742676969 muestra 786 puntos de bonificación no redimidos. Para reclamar llame al 08719180248 Código de identificación: 45239 Expira Mira https://4h0pbdpl.gfiwpu3459btgoeiprubnvoey458r.workers.dev/,kaggle
spam,"URGENT! Your Mobile No. was awarded å£2000 Bonus Caller Prize on 5/9/03 This is our final try to contact U! Call from Landline 09064019788 BOX42WR29C, 150PPM Verify your account at https://westernunionsf.ricohtrac.com/","URGENTE! Su móvil No. fue galardonado 2000 Bono Premio Llamador el 5/9/03 Este es nuestro último intento de contactar con U! Llamada desde Landline 09064019788 BOX42WR29C, 150PPM Verifica tu cuenta en https://westernunionsf.ricohtrac.com/",kaggle
ham,here is my new address -apples&pairs&all that malarky,Aquí está mi nueva dirección - manzanillas & pairs & all que malarky,kaggle
spam,Todays Voda numbers ending 7548 are selected to receive a $350 award. If you have a match please call 08712300220 quoting claim code 4041 standard rates app Limited time offer: http://uqholdxxogin-us.godaddysites.com/,Hoy los números Voda que terminan 7548 son seleccionados para recibir un premio de $350. Si usted tiene un partido por favor llame al 08712300220 citando código de reclamación 4041 estándar tarifas app Oferta por tiempo limitado: http://uqholdxxogin-us.godaddysites.com/,kaggle
ham,I am going to sao mu today. Will be done only at 12 Learn more at harvard.edu,Voy a ir a Sao Mu hoy. Se hará sólo a las 12 Aprende más en harvard.edu,kaggle
ham,ÌÏ predict wat time Ì_'ll finish buying? Learn more at quickconnect.to,¿Predecir que el tiempo va a terminar de comprar? Aprende más en quickconnect.to,kaggle
ham,"Good stuff, will do. Find out more at teamviewer.com","Bien hecho, lo haré. Descubre más en teamviewer.com",kaggle
ham,"Just so that you know,yetunde hasn't sent money yet. I just sent her a text not to bother sending. So its over, you dont have to involve yourself in anything. I shouldn't have imposed anything on you in the first place so for that, i apologise.","Sólo para que lo sepas, aún no le he enviado dinero, le he enviado un mensaje de texto para no molestarse en enviar, así que se acabó, no tienes que involucrarte en nada, no debí haberte impuesto nada en primer lugar, así que me disculpo.",kaggle
ham,Are you there in room.,¿Estás ahí en la habitación.,kaggle
ham,HEY GIRL. HOW R U? HOPE U R WELL ME AN DEL R BAK! AGAIN LONG TIME NO C! GIVE ME A CALL SUM TIME FROM LUCYxx,"Hola, chica. ¿Cómo estás?",kaggle
ham,K..k:)how much does it cost? Learn more at ytimg.com,K.k:)¿Cuánto cuesta? Aprende más en ytimg.com,kaggle
ham,I'm home. Visit meraki.com,Estoy en casa. Visita meraki.com,kaggle
ham,"Dear, will call Tmorrow.pls accomodate.","Querida, llamaré a Tmorrow.pls accomodate.",kaggle
ham,First answer my question. Find out more at tiktokv.com,Primero responde a mi pregunta. Descubre más en tiktokv.com,kaggle
spam,Sunshine Quiz Wkly Q! Win a top Sony DVD player if u know which country the Algarve is in? Txt ansr to 82277. å£1.50 SP:Tyrone,Sunshine Quiz Wkly Q! Ganar un reproductor de DVD de Sony superior si usted sabe en qué país está el Algarve? Txt Ansr a 82277. 1.50 SP:Tyrone,kaggle
