label,text,lang,source
ham,"Sorry, I'll call later",en,kaggle
ham,How much is torch in 9ja.,en,kaggle
ham,"Call me, i am senthil from hsbc.",en,kaggle
ham,Just getting back home,en,kaggle
spam,"Spook up your mob with a Halloween collection of a logo & pic message plus a free eerie tone, txt CARD SPOOK to 8007 zed 08701417012150p per logo/pic ",en,kaggle
ham,"The last thing i ever wanted to do was hurt you. And i didn't think it would have. You'd laugh, be embarassed, delete the tag and keep going. But as far as i knew, it wasn't even up. The fact that you even felt like i would do it to hurt you shows you really don't know me at all. It was messy wednesday, but it wasn't bad. The problem i have with it is you HAVE the time to clean it, but you choose not to. You skype, you take pictures, you sleep, you want to go out. I don't mind a few things here and there, but when you don't make the bed, when you throw laundry on top of it, when i can't have a friend in the house because i'm embarassed that there's underwear and bras strewn on the bed, pillows on the floor, that's something else. You used to be good about at least making the bed.",en,kaggle
ham,"I don't think I can get away for a trek that long with family in town, sorry",en,kaggle
ham,"\OH FUCK. JUSWOKE UP IN A BED ON A BOATIN THE DOCKS. SLEPT WID 25 YEAR OLD. SPINOUT! GIV U DA GOSSIP L8R. XXX\""""""""",en,kaggle
ham,Lul im gettin some juicy gossip at the hospital. Two nurses are talking about how fat they are gettin. And one thinks shes obese. Oyea.,en,kaggle
ham,Bognor it is! Should be splendid at this time of year.,en,kaggle
ham,And how's your husband.,en,kaggle
ham,Oh ok i didnt know what you meant. Yep i am baby jontin,en,kaggle
ham,Hi dis is yijue i would be happy to work wif Ì_ all for gek1510...,en,kaggle
ham,I emailed yifeng my part oredi.. Can Ì_ get it fr him..,en,kaggle
spam,Not heard from U4 a while. Call 4 rude chat private line 01223585334 to cum. Wan 2C pics of me gettin shagged then text PIX to 8552. 2End send STOP 8552 SAM xxx,en,kaggle
ham,She's borderline but yeah whatever.,en,kaggle
ham,"Doing nothing, then u not having dinner w us?",en,kaggle
ham,"\HEY BABE! FAR 2 SPUN-OUT 2 SPK AT DA MO... DEAD 2 DA WRLD. BEEN SLEEPING ON DA SOFA ALL DAY, HAD A COOL NYTHO, TX 4 FONIN HON,"""" CALL 2MWEN IM BK FRMCLOUD 9! J X\""""""""""""""""""""",en,kaggle
ham,"Customer place, i wil cal u sir.",en,kaggle
ham,This girl does not stay in bed. This girl doesn't need recovery time. Id rather pass out while having fun then be cooped up in bed,en,kaggle
ham,Sry da..jst nw only i came to home..,en,kaggle
ham,Ard 530 like dat lor. We juz meet in mrt station then Ì_ dun haf to come out.,en,kaggle
ham,"Nothing, i got msg frm tht unknown no..",en,kaggle
ham,Aft i finish my lunch then i go str down lor. Ard 3 smth lor. U finish ur lunch already?,en,kaggle
ham,Its not the same here. Still looking for a job. How much do Ta's earn there.,en,kaggle
ham,Ok... But bag again..,en,kaggle
ham,El fontanero dice que el problema es mayor de lo que pensaba.,es,synthetic_claude
ham,"Yeah, we can probably swing by once my roommate finishes up with his girl",en,kaggle
ham,"K.. I yan jiu liao... Sat we can go 4 bugis vill one frm 10 to 3 den hop to parco 4 nb. Sun can go cine frm 1030 to 2, den hop to orc mrt 4 hip hop at 4...",en,kaggle
ham,"Probably, want to pick up more?",en,kaggle
spam,URGENT! We are trying to contact U. Todays draw shows that you have won a å£800 prize GUARANTEED. Call 09050001295 from land line. Claim A21. Valid 12hrs only,en,kaggle
ham,Ill call you evening ill some ideas.,en,kaggle
spam,Buy Space Invaders 4 a chance 2 win orig Arcade Game console. Press 0 for Games Arcade (std WAP charge) See o2.co.uk/games 4 Terms + settings. No purchase,en,kaggle
ham,Not to worry. I'm sure you'll get it.,en,kaggle
ham,"Good good, billy mates all gone. Just been jogging, again! Did enjoy concert?",en,kaggle
ham,There are many company. Tell me the language.,en,kaggle
ham,East coast,en,kaggle
ham,I want  &lt;#&gt;  rs da:)do you have it?,en,kaggle
ham,Enjoy ur life. . Good night,en,kaggle
spam,Jamster! To get your free wallpaper text HEART to 88888 now! T&C apply. 16 only. Need Help? Call 08701213186.,en,kaggle
ham,Huh y lei...,en,kaggle
ham,"Vikky, come around  &lt"";TIME&gt;"" ..",en,kaggle
ham,Hurry home. Soup is DONE!,en,kaggle
ham,Dunno cos i was v late n when i reach they inside already... But we ate spageddies lor... It's e gals who r laughing at me lor...,en,kaggle
spam,FreeMsg: Hey - I'm Buffy. 25 and love to satisfy men. Home alone feeling randy. Reply 2 C my PIX! QlynnBV Help08700621170150p a msg Send stop to stop txts,en,kaggle
ham,"Wishing you and your family Merry \X\"""" mas and HAPPY NEW Year in advance..""""",en,kaggle
spam,"Eerie Nokia tones 4u, rply TONE TITLE to 8007 eg TONE DRACULA to 8007 Titles: GHOST, ADDAMSFA, MUNSTERS, EXORCIST, TWILIGHT www.getzed.co.uk POBox36504W45WQ 150p",en,kaggle
ham,I love to wine and dine my lady!,en,kaggle
ham,Now? I'm going out 4 dinner soon..,en,kaggle
spam,URGENT! Your Mobile number has been awarded with a å£2000 prize GUARANTEED. Call 09058094454 from land line. Claim 3030. Valid 12hrs only,en,kaggle
ham,"Huh... Hyde park not in mel ah, opps, got confused... Anyway, if tt's e best choice den we juz have to take it...",en,kaggle
spam,Bankinter: Le informamos que su acceso ha sido comprometido. Llame urgente al 901 365 563.,es,synthetic_claude
ham,"Night has ended for another day, morning has come in a special way. May you smile like the sunny rays and leaves your worries at the blue blue bay. Gud mrng",en,kaggle
ham,I re-met alex nichols from middle school and it turns out he's dealing!,en,kaggle
ham,Mm you ask him to come its enough :-),en,kaggle
ham,We're finally ready fyi,en,kaggle
spam,Your 2004 account for 07XXXXXXXXX shows 786 unredeemed points. To claim call 08719181259 Identifier code: XXXXX Expires 26.03.05,en,kaggle
ham,You flippin your shit yet?,en,kaggle
ham,"Hi frnd, which is best way to avoid missunderstding wit our beloved one's?",en,kaggle
ham,S now only i took tablets . Reaction morning only.,en,kaggle
ham,Joy's father is John. Then John is the NAME of Joy's father. Mandan,en,kaggle
spam,Email AlertFrom: Jeri StewartSize: 2KBSubject: Low-cost prescripiton drvgsTo listen to email call 123,en,kaggle
ham,"Ah, well that confuses things, doesnÛ÷t it?",en,kaggle
ham,"Oops I did have it,  &lt"";#&gt;"" ?",en,kaggle
spam,"You are a å£1000 winner or Guaranteed Caller Prize, this is our Final attempt to contact you! To Claim Call 09071517866 Now! 150ppmPOBox10183BhamB64XE",en,kaggle
ham,No. I dont want to hear anything,en,kaggle
ham,"No dude, its not fake..my frnds got money, thts y i'm reffering u..if u member wit my mail link, u vl be credited  &lt"";#&gt; rs and il be getiing  &lt;#&gt; rs..i can draw my acc wen it is  &lt;#&gt;"" rs..",en,kaggle
ham,Is xy in ur car when u picking me up?,en,kaggle
ham,Awww dat is sweet! We can think of something to do he he! Have a nice time tonight ill probably txt u later cos im lonely :( xxx.,en,kaggle
ham,You will go to walmart. I.ll stay.,en,kaggle
ham,So why didnt you holla?,en,kaggle
ham,"Cool, what time you think you can get here?",en,kaggle
ham,Oh... Kay... On sat right?,en,kaggle
ham,Oh really?? Did you make it on air? What's your talent?,en,kaggle
spam,"We know someone who you know that fancies you. Call 09058097218 to find out who. POBox 6, LS15HB 150p",en,kaggle
spam,AVISO BBVA: Límite de transferencias alcanzado. Para ampliar su límite contacte al 900 102 801.,es,synthetic_claude
spam,IMPORTANT INFORMATION 4 ORANGE USER 0796XXXXXX. TODAY IS UR LUCKY DAY!2 FIND OUT WHY LOG ONTO http://www.urawinner.com THERE'S A FANTASTIC PRIZEAWAITING YOU!,en,kaggle
ham,Hi its Kate how is your evening? I hope i can see you tomorrow for a bit but i have to bloody babyjontet! Txt back if u can. :) xxx,en,kaggle
ham,"Haven't found a way to get another app for your phone, eh ? Will you go to the net cafe ? Did you take that job? Geeee I need you babe. I crave to see you ...",en,kaggle
ham,In life when you face choices Just toss a coin not becoz its settle the question But while the coin in the air U will know what your heart is hoping for. Gudni8,en,kaggle
spam,Well done ENGLAND! Get the official poly ringtone or colour flag on yer mobile! text TONE or FLAG to 84199 NOW! Opt-out txt ENG STOP. Box39822 W111WX å£1.50,en,kaggle
ham,Catastro: Valor catastral de su inmueble actualizado. Consulte en la sede electrónica.,es,synthetic_claude
ham,Ok.,en,kaggle
ham,Yeah that's the impression I got,en,kaggle
ham,"Daddy, shu shu is looking 4 u... U wan me 2 tell him u're not in singapore or wat?",en,kaggle
spam,As one of our registered subscribers u can enter the draw 4 a 100 G.B. gift voucher by replying with ENTER. To unsubscribe text STOP,en,kaggle
ham,Hanging out with my brother and his family,en,kaggle
ham,Mm i had my food da from out,en,kaggle
ham,"We made it! Eta at taunton is 12:30 as planned, hope thatÛ÷s still okday?! Good to see you! :-xx",en,kaggle
ham,Yetunde i'm in class can you not run water on it to make it ok. Pls now.,en,kaggle
ham,"Yo, the game almost over? Want to go to walmart soon",en,kaggle
ham,Ok leave no need to ask,en,kaggle
ham,I dont thnk its a wrong calling between us,en,kaggle
ham,There is a first time for everything :),en,kaggle
spam,No 1 POLYPHONIC tone 4 ur mob every week! Just txt PT2 to 87575. 1st Tone FREE ! so get txtin now and tell ur friends. 150p/tone. 16 reply HL 4info,en,kaggle
spam,Great NEW Offer - DOUBLE Mins & DOUBLE Txt on best Orange tariffs AND get latest camera phones 4 FREE! Call MobileUpd8 free on 08000839402 NOW! or 2stoptxt T&Cs,en,kaggle
ham,I see the letter B on my car,en,kaggle
ham,I can do that! I want to please you both inside and outside the bedroom...,en,kaggle
ham,How to Make a girl Happy? It's not at all difficult to make girls happy. U only need to be... 1. A friend 2. Companion 3. Lover 4. Chef . . .  &lt;#&gt; . Good listener  &lt;#&gt; . Organizer  &lt;#&gt; . Good boyfriend  &lt;#&gt; . Very clean  &lt;#&gt; . Sympathetic  &lt;#&gt; . Athletic  &lt;#&gt; . Warm . . .  &lt;#&gt; . Courageous  &lt;#&gt; . Determined  &lt;#&gt; . True  &lt;#&gt; . Dependable  &lt;#&gt; . Intelligent . . .  &lt;#&gt; . Psychologist  &lt;#&gt; . Pest exterminator  &lt;#&gt; . Psychiatrist  &lt;#&gt; . Healer . .  &lt;#&gt; . Stylist  &lt;#&gt; . Driver . . Aaniye pudunga venaam..,en,kaggle
spam,18 days to Euro2004 kickoff! U will be kept informed of all the latest news and results daily. Unsubscribe send GET EURO STOP to 83222.,en,kaggle
ham,"Maybe westshore or hyde park village, the place near my house?",en,kaggle
spam,MRW: Tercer intento de entrega fallido. Para reprogramar llame al 902 300 400 antes de hoy.,es,synthetic_claude
ham,Thankyou so much for the call. I appreciate your care.,en,kaggle
ham,K. I will sent it again,en,kaggle
ham,"And that's fine, I got enough bud to last most of the night at least",en,kaggle
ham,"Cool, we shall go and see, have to go to tip anyway. Are you at home, got something to drop in later? So lets go to town tonight! Maybe mum can take us in.",en,kaggle
spam,Movistar: Aviso de corte de fibra en 48h por deuda pendiente. Evítelo: https://movistar-corte.top/pagar,es,synthetic_claude
ham,I'm leaving my house now...,en,kaggle
spam,Oportunidad de negocio: revende productos premium online. Sin inversión inicial. 100% legal.,es,synthetic_claude
ham,Not directly behind... Abt 4 rows behind Ì_...,en,kaggle
ham,Dude got a haircut. Now its breezy up there,en,kaggle
spam,"I want some cock! My hubby's away, I need a real man 2 satisfy me. Txt WIFE to 89938 for no strings action. (Txt STOP 2 end, txt rec å£1.50ea. OTBox 731 LA1 7WS. )",en,kaggle
ham,Cold. Dont be sad dear,en,kaggle
ham,Hi happy birthday. Hi hi hi hi hi hi hi,en,kaggle
ham,Do you like shaking your booty on the dance floor?,en,kaggle
spam,"cmon babe, make me horny, *turn* me on! Txt me your fantasy now babe -) Im hot, sticky and need you now. All replies cost å£1.50. 2 cancel send STOP",en,kaggle
ham,No. On the way home. So if not for the long dry spell the season would have been over,en,kaggle
spam,"AGENCIA TRIBUTARIA: Tiene una devolución de 347,50€ pendiente. Solicítela aquí: https://aeat-devolucion.top/solicitar",es,synthetic_claude
ham,"(I should add that I don't really care and if you can't I can at least get this dude to fuck off but hey, your money if you want it)",en,kaggle
ham,"Solve d Case : A Man Was Found Murdered On  &lt"";DECIMAL&gt; . &lt;#&gt;""  AfterNoon. 1,His wife called Police. 2,Police questioned everyone. 3,Wife: Sir,I was sleeping, when the murder took place. 4.Cook: I was cooking. 5.Gardener: I was picking vegetables. 6.House-Maid: I went 2 d post office. 7.Children: We went 2 play. 8.Neighbour: We went 2 a marriage. Police arrested d murderer Immediately. Who's It? Reply With Reason, If U r Brilliant.",en,kaggle
ham,Rightio. 11.48 it is then. Well arent we all up bright and early this morning.,en,kaggle
ham,Are we doing the norm tomorrow? I finish just a 4.15 cos of st tests. Need to sort library stuff out at some point tomo - got letter from today - access til end march so i better get move on!,en,kaggle
ham,Hey pple...$700 or $900 for 5 nights...Excellent location wif breakfast hamper!!!,en,kaggle
ham,"It could work, we'll reach a consensus at the next meeting",en,kaggle
ham,Thats cool. I want to please you...,en,kaggle
ham,"Sorry, I'll call later  &lt"";#&gt;"" mins",en,kaggle
ham,I am back. Bit long cos of accident on a30. Had to divert via wadebridge.I had a brilliant weekend thanks. Speak soon. Lots of love,en,kaggle
ham,Hey come online! Use msn... We are all there,en,kaggle
ham,Yup next stop.,en,kaggle
ham,Hello my little party animal! I just thought I'd buzz you as you were with your friends ...*grins*... Reminding you were loved and send a naughty adoring kiss,en,kaggle
spam,You have 1 new message. Call 0207-083-6089,en,kaggle
ham,Don't forget though that I love you .... And I walk beside you. Watching over you and keeping your heart warm.,en,kaggle
ham,¿Sigues enfadado? Podemos hablar cuando quieras.,es,synthetic_claude
spam,83039 62735=å£450 UK Break AccommodationVouchers terms & conditions apply. 2 claim you mustprovide your claim number which is 15541,en,kaggle
ham,Yes..he is really great..bhaji told kallis best cricketer after sachin in world:).very tough to get out.,en,kaggle
ham,"Good afternoon, my love! How goes that day ? I hope maybe you got some leads on a job. I think of you, boytoy and send you a passionate kiss from across the sea",en,kaggle
spam,"Last Chance! Claim ur å£150 worth of discount vouchers today! Text SHOP to 85023 now! SavaMob, offers mobile! T Cs SavaMob POBOX84, M263UZ. å£3.00 Sub. 16",en,kaggle
ham,K:)all the best:)congrats...,en,kaggle
spam,CaixaBank: Cargo sospechoso de 349€ detectado. Cancélelo aquí: https://caixa-alerta.net/bloquear,es,synthetic_claude
ham,Just wanted to say holy shit you guys weren't kidding about this bud,en,kaggle
ham,how tall are you princess?,en,kaggle
ham,"As in missionary hook up, doggy hook up, standing...|",en,kaggle
ham,Really dun bluff me leh... U sleep early too. Nite...,en,kaggle
ham,If you're not in my car in an hour and a half I'm going apeshit,en,kaggle
ham,Smith waste da.i wanna gayle.,en,kaggle
ham,"Spoke with uncle john today. He strongly feels that you need to sacrifice to keep me here. He's going to call you. When he does, i beg you to just listen. Dont make any promises or make it clear things are not easy. And i need you to please let us work things out. As long as i keep expecting help, my creativity will be stifled so pls just keep him happy, no promises on your part.",en,kaggle
ham,After completed degree. There is no use in joining finance.,en,kaggle
spam,DGT: Multa de tráfico pendiente de pago. Evite recargos pagando hoy: https://dgt-multas.xyz/pagar,es,synthetic_claude
spam,Hey I am really horny want to chat or see me naked text hot to 69698 text charged at 150pm to unsubscribe text stop 69698,en,kaggle
ham,Hello handsome ! Are you finding that job ? Not being lazy ? Working towards getting back that net for mummy ? Where's my boytoy now ? Does he miss me ?,en,kaggle
spam,Sabadell: Aviso de seguridad urgente. Llame al 900 713 713 para verificar su identidad.,es,synthetic_claude
spam,Text BANNEDUK to 89555 to see! cost 150p textoperator g696ga 18+ XXX,en,kaggle
spam,We currently have a message awaiting your collection. To collect your message just call 08718723815.,en,kaggle
ham,Good afternoon my boytoy. How goes that walking here and there day ? Did you get that police abstract? Are you still out and about? I wake and miss you babe,en,kaggle
ham,How come u got nothing to do?,en,kaggle
ham,Mom wants to know where you at,en,kaggle
ham,I'm already back home so no probably not,en,kaggle
spam,08714712388 between 10am-7pm Cost 10p,en,kaggle
spam,"New Mobiles from 2004, MUST GO! Txt: NOKIA to No: 89545 & collect yours today! From ONLY å£1. www.4-tc.biz 2optout 087187262701.50gbp/mtmsg18 TXTAUCTION.",en,kaggle
ham,Yes:)here tv is always available in work place..,en,kaggle
ham,You need to get up. Now.,en,kaggle
spam,Do you want a New Nokia 3510i Colour Phone Delivered Tomorrow? With 200 FREE minutes to any mobile + 100 FREE text + FREE camcorder Reply or Call 8000930705,en,kaggle
ham,I HAVE A DATE ON SUNDAY WITH WILL!!,en,kaggle
ham,"No dice, art class 6 thru 9 :( thanks though. Any idea what time I should come tomorrow?",en,kaggle
ham,I'm reaching home in 5 min.,en,kaggle
ham,Dis is yijue. I jus saw ur mail. In case huiming havent sent u my num. Dis is my num.,en,kaggle
spam,"SMS SERVICES. for your inclusive text credits, pls goto www.comuk.net login= ***** unsubscribe with STOP. no extra charge. help:08700469649. PO BOX420. IP4 5WE",en,kaggle
ham,S:)s.nervous  &lt;#&gt; :),en,kaggle
ham,"Er yeah, i will b there at 15:26, sorry! Just tell me which pub/cafe to sit in and come wen u can",en,kaggle
ham,Hey i've booked the pilates and yoga lesson already... Haha,en,kaggle
ham,Tell me whos this pls:-),en,kaggle
ham,K I'll take care of it,en,kaggle
ham,Oh k.k..where did you take test?,en,kaggle
spam,Please call our customer service representative on 0800 169 6031 between 10am-9pm as you have WON a guaranteed å£1000 cash or å£5000 prize!,en,kaggle
ham,Somebody set up a website where you can play hold em using eve online spacebucks,en,kaggle
ham,Nt yet chikku..simple habba..hw abt u?,en,kaggle
ham,"Life is more strict than teacher... Bcoz Teacher teaches lesson &amp""; then conducts exam, But Life first conducts Exam &amp;"" then teaches Lessons. Happy morning. . .",en,kaggle
ham,I dled 3d its very imp,en,kaggle
ham,We'll you pay over like  &lt;#&gt; yrs so its not too difficult,en,kaggle
ham,Takin a shower now but yeah I'll leave when I'm done,en,kaggle
spam,"Thanks for your ringtone order, reference number X49. Your mobile will be charged 4.50. Should your tone not arrive please call customer services 09065989182. From: [colour=red]text[/colour]TXTstar",en,kaggle
ham,That day you asked about anand number. Why:-),en,kaggle
ham,And I don't plan on staying the night but I prolly won't be back til late,en,kaggle
spam,"Hello darling how are you today? I would love to have a chat, why dont you tell me what you look like and what you are in to sexy?",en,kaggle
ham,Felicidades tío!! Que pases un gran día 🎂,es,synthetic_claude
ham,Unless it's a situation where YOU GO GURL would be more appropriate,en,kaggle
ham,My exam is for february 4. Wish you a great day.,en,kaggle
ham,Correos: Su carta certificada está disponible para recoger en la oficina de la Calle Mayor 12.,es,synthetic_claude
spam,DHL: Su paquete está listo para entrega. Confirme su disponibilidad: https://dhl-confirma.top/horario,es,synthetic_claude
ham,Baaaaabe! I misss youuuuu ! Where are you ? I have to go and teach my class at 5 ...,en,kaggle
ham,Ok...,en,kaggle
ham,"see, i knew giving you a break a few times woul lead to you always wanting to miss curfew. I was gonna gibe you 'til one, but a MIDNIGHT movie is not gonna get out til after 2. You need to come home. You need to getsleep and, if anything, you need to b studdying ear training.",en,kaggle
ham,K still are you loving me.,en,kaggle
ham,So what do you guys do.,en,kaggle
ham,"Hello.How u doing?What u been up 2?When will u b moving out of the flat, cos I will need to arrange to pick up the lamp, etc. Take care. Hello caroline!",en,kaggle
ham,Die... Now i have e toot fringe again...,en,kaggle
ham,University of southern california.,en,kaggle
spam,Update_Now - 12Mths Half Price Orange line rental: 400mins...Call MobileUpd8 on 08000839402 or call2optout=J5Q,en,kaggle
ham,"I'm back, lemme know when you're ready",en,kaggle
ham,Don't make life too stressfull.. Always find time to Laugh.. It may not add years to your Life! But surely adds more life to ur years!! Gud ni8..swt dreams..,en,kaggle
ham,Just sing HU. I think its also important to find someone female that know the place well preferably a citizen that is also smart to help you navigate through. Even things like choosing a phone plan require guidance. When in doubt ask especially girls.,en,kaggle
ham,Eh u remember how 2 spell his name... Yes i did. He v naughty make until i v wet.,en,kaggle
ham,There is os called ubandu which will run without installing in hard disk...you can use that os to copy the important files in system and give it to repair shop..,en,kaggle
ham,It's ok i noe u're busy but i'm really too bored so i msg u. I oso dunno wat colour she choose 4 me one.,en,kaggle
ham,I'm going out to buy mum's present ar.,en,kaggle
spam,"As a valued customer, I am pleased to advise you that following recent review of your Mob No. you are awarded with a å£1500 Bonus Prize, call 09066364589",en,kaggle
ham,Ayuntamiento: Su solicitud de empadronamiento ha sido procesada. Certificado disponible en 5 días.,es,synthetic_claude
ham,Oh yeah! And my diet just flew out the window,en,kaggle
ham,"Hello, my love. What are you doing? Did you get to that interview today? Are you you happy? Are you being a good boy? Do you think of me?Are you missing me ?",en,kaggle
ham,You call him now ok i said call him,en,kaggle
ham,I know you are serving. I mean what are you doing now.,en,kaggle
ham,Llevo todo el día sin comer. ¿Quedamos para cenar algo?,es,synthetic_claude
ham,K actually can you guys meet me at the sunoco on howard? It should be right on the way,en,kaggle
ham,I'm doing da intro covers energy trends n pros n cons... Brief description of nuclear fusion n oso brief history of iter n jet got abt 7 n half pages..,en,kaggle
ham,Ok thanx...,en,kaggle
ham,We are okay. Going to sleep now. Later,en,kaggle
ham,How i noe... She's in da car now... Later then c lar... I'm wearing shorts...,en,kaggle
ham,Hey mr  and I are going to the sea view and having a couple of gays I mean games! Give me a bell when ya finish,en,kaggle
ham,"Awesome, plan to get here any time after like  &lt"";#&gt;"" , I'll text you details in a wee bit",en,kaggle
ham,"There're some people by mu, I'm at the table by lambda",en,kaggle
spam,Amazon: Encuesta especial con premio asegurado de 200€. Llame al 900 100 200 para participar.,es,synthetic_claude
ham,No you'll just get a headache trying to figure it out. U can trust me to do the math. I promise. O:-),en,kaggle
ham,Yeah he got in at 2 and was v apologetic. n had fallen out and she was actin like spoilt child and he got caught up in that. Till 2! But we won't go there! Not doing too badly cheers. You?,en,kaggle
ham,El bebé de Ana ha nacido esta mañana. Madre e hijo perfectos.,es,synthetic_claude
ham,"Fuck babe, I miss you sooooo much !! I wish you were here to sleep with me ... My bed is so lonely ... I go now, to sleep ... To dream of you, my love ...",en,kaggle
